species	species_id_method	strain	isotype	previous_names	release	source_lab	latitude	longitude	elevation	landscape	locality_description	substrate	substrate_comments	substrate_temp	ambient_temp	ambient_humidity	associated_organism	inbreeding_status	sampled_by	isolated_by	sampling_date	sampling_date_comment	notes	strain_set	issues	issue_notes	isotype_ref_strain	sequenced
Caenorhabditis elegans	None	DR1344	CB4851	Bergerac_BO	20160408	CGC	44.85	0.48	18.0	None	Aquitaine	Soil	soil	None	None	None	None	None	V. Nigon	V. Nigon	None	None	From the same culture as CB4851 but sent to Dougherty before 1967, then to D. Hirsch in 1977, frozen by D. Riddle	None	False	None	False	False
Caenorhabditis elegans	None	DR1345	CB4857	None	20160408	CGC	34.096	-117.719	355.0	None	California	Fungus	rotting mushroom	None	None	None	None	None	E. Hedgecock	E. Hedgecock	1972-11-01	None	DRiddle subclone of Cl2a (Tc1 patternII)	None	False	None	False	False
Caenorhabditis elegans	None	DR1350	CB4853	PA2|CB3198	20160408	CGC	34.13712	-118.12532	233.0	Urban_garden	California	Rotting_flower	flower bed	None	None	None	None	None	E. Hedgecock	E. Hedgecock	1973-01-01	None	PA-2 subclone, frozen by D. Riddle	None	False	None	False	False
Caenorhabditis elegans	ITS2	ECA1069	ECA1069	None	20200815	ECA	-34.89411879	-56.15794301	39.0	Urban_garden	Montevideo, Uruguay	Rotting_nut/pod/seed/fruit	small rotting fruits (on ground)	None	None	None	None	None	U. Koziol, C. Martinez	B. Rodriguez	2018-05-20	None	None	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1070	ECA1074	None	20200815	ECA	-34.8934668	-56.15637202	36.0	Urban_garden	Montevideo, Uruguay	Rotting_nut/pod/seed/fruit	rotting Butia fruits (on ground)	None	None	None	None	None	U. Koziol, C. Martinez	B. Rodriguez	2018-05-20	None	None	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1071	ECA1074	None	20200815	ECA	-34.8934668	-56.15637202	36.0	Urban_garden	Montevideo, Uruguay	Rotting_nut/pod/seed/fruit	rotting Butia fruits (on ground)	None	None	None	None	None	U. Koziol, C. Martinez	B. Rodriguez	2018-05-20	None	None	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1072	ECA1074	None	20200815	ECA	-34.8434	-56.1199	39.0	Urban_garden	Montevideo, Uruguay	Rotting_nut/pod/seed/fruit	rotting oranges (on ground)	None	None	None	None	None	U. Koziol, C. Martinez	B. Rodriguez	2018-05-19	None	None	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1073	ECA1074	None	20200815	ECA	-34.8434	-56.1199	39.0	Urban_garden	Montevideo, Uruguay	Rotting_nut/pod/seed/fruit	rotting oranges (on ground)	None	None	None	None	None	U. Koziol, C. Martinez	B. Rodriguez	2018-05-19	None	None	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1074	ECA1074	None	20200815	ECA	-34.89623486	-56.15625241	32.0	Urban_garden	Montevideo, Uruguay	Rotting_nut/pod/seed/fruit	rotting banana (on ground)	None	None	None	None	None	U. Koziol, C. Martinez	B. Rodriguez	2018-05-22	None	None	7	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1184	ECA1185	S-08069	20210121	ECA	19.44006389	-155.3020167	1222.0	Forest	Big Island, Kipuka Puaulu Trail	Rotting_flower	rotting flower (on ground)	18.3	20.2	74.5	None	None	S. Zdraljevic	E. Andersen	2018-11-04	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1185	ECA1185	S-08076	20200815	ECA	19.44006389	-155.3020167	1222.0	Forest	Big Island, Kipuka Puaulu Trail	Rotting_flower	rotting flower (on ground)	18.3	20.2	74.5	None	None	S. Zdraljevic	E. Andersen	2018-11-04	None	Fulcrum collection HawaiiOctober2018	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1186	ECA1186	S-08083	20200815	ECA	19.11456944	-155.8201944	621.0	Forest	Big Island, Manuka Nature Trail	Vegetal_litter/mix	vegetal litter/mix	20.1	21.2	87.5	None	None	T. Crombie	N. Roberto	2018-11-05	None	Fulcrum collection HawaiiOctober2018	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1187	ECA1187	S-08121	20210121	ECA	19.44189167	-155.3012944	1228.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.5	19.2	82.3	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	9	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1188	ECA1187	S-08122	20210121	ECA	19.44189167	-155.3012944	1228.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.5	19.2	82.3	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1189	ECA1187	S-08123	20210121	ECA	19.44189167	-155.3012944	1228.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.5	19.2	82.3	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1190	ECA1187	S-08124	20210121	ECA	19.44189167	-155.3012944	1228.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.5	19.2	82.3	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1191	ECA1191	S-08129	20200815	ECA	19.44285556	-155.3017222	1237.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	16.6	19.2	86.7	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1192	ECA1192	S-08146	20210121	ECA	19.43996944	-155.3050667	1225.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.8	19.2	83.3	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	9	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1193	ECA1193	S-08148	20200815	ECA	19.43996944	-155.3050667	1225.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.8	19.2	83.3	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1194	ECA1194	S-08170	20200815	ECA	19.43961111	-155.3040139	1211.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.9	17.8	89.2	None	None	S. Zdraljevic	E. Andersen	2018-11-04	None	Fulcrum collection HawaiiOctober2018	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1195	ECA1195	S-08177	20200815	ECA	19.43961111	-155.3040139	1211.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.9	17.8	89.2	None	None	S. Zdraljevic	E. Andersen	2018-11-04	None	Fulcrum collection HawaiiOctober2018	7	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1196	ECA1196	S-08249	20210121	ECA	19.44285556	-155.3017222	1237.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	16.6	19.2	86.7	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	WGS aligns to a different species, need to re-sequence	9	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1197	ECA1237	S-08255	20210121	ECA	19.44114167	-155.3049139	1248.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.8	19.2	78.9	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1198	ECA1237	S-08256	20210121	ECA	19.44114167	-155.3049139	1248.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	17.8	19.2	78.9	None	None	S. Zdraljevic	R. Tanny	2018-11-04	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1199	ECA1238	S-08288	20210121	ECA	19.43899444	-155.3034222	1206.0	Forest	Big Island, Kipuka Puaulu Trail	Vegetal_litter/mix	vegetal litter/mix	16.8	17.1	90.1	None	None	S. Zdraljevic	N. Roberto	2018-11-04	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1200	ECA1200	S-08376	20210121	ECA	20.03956944	-155.4403861	645.0	Forest	Big Island, Kalopa State Recreation Area	Vegetal_litter/mix	vegetal litter/mix	20.8	23.3	84.5	None	None	T. Crombie	E. Andersen	2018-11-07	None	Fulcrum collection HawaiiOctober2018	9	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1201	ECA1202	S-08490	20200815	ECA	19.71897222	-155.9490944	985.0	Forest	Big Island, Kaloko Loop Trial	Vegetal_litter/mix	vegetal litter/mix	20.1	21.94444444	83.1	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1202	ECA1202	S-08492	20210121	ECA	19.71897222	-155.9490944	985.0	Forest	Big Island, Kaloko Loop Trial	Vegetal_litter/mix	vegetal litter/mix	20.1	21.94444444	83.1	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1203	ECA1208	S-08519	20200815	ECA	19.71895278	-155.9515361	936.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	20.8	21.9	87.7	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1204	ECA1208	S-08520	20210121	ECA	19.71895278	-155.9515361	936.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	20.8	21.9	87.7	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1205	ECA1208	S-08527	20200815	ECA	19.71895278	-155.9515361	936.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	20.8	21.9	87.7	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1206	ECA1206	S-08528	20210121	ECA	19.71897222	-155.9490944	985.0	Forest	Big Island, Kaloko Loop Trial	Vegetal_litter/mix	vegetal litter/mix	20.1	21.94444444	83.1	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1207	ECA1208	S-08537	20210121	ECA	19.71895278	-155.9515361	936.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	20.8	21.9	87.7	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1208	ECA1208	S-08538	20200815	ECA	19.71895278	-155.9515361	936.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	20.8	21.9	87.7	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1209	ECA1212	S-08549	20210121	ECA	19.71876389	-155.9488722	991.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	21.2	23.33333333	80.4	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1210	ECA744	S-08550	20210121	ECA	19.71876389	-155.9488722	991.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	21.2	23.33333333	80.4	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1211	ECA1212	S-08551	20210121	ECA	19.71876389	-155.9488722	991.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	21.2	23.33333333	80.4	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1212	ECA1212	S-08566	20200815	ECA	19.71876389	-155.9488722	991.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	21.2	23.33333333	80.4	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1213	ECA744	S-08567	20200815	ECA	19.71876389	-155.9488722	991.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	21.2	23.33333333	80.4	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1214	ECA744	S-08568	20200815	ECA	19.71876389	-155.9488722	991.0	Forest	Big Island, Kaloko Loop Trial	Rotting_flower	rotting flower (on ground)	21.2	23.33333333	80.4	None	None	S. Zdraljevic	T. Crombie	2018-11-05	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1215	ECA1216	S-08672	20200815	ECA	19.720575	-155.9476528	1029.0	Forest	Big Island, Kaloko Loop Trial	Fungus	fungus	19.8	20.5	91.1	None	None	S. Zdraljevic	S. Brady	2018-11-06	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1216	ECA1216	S-08693	20200815	ECA	19.720575	-155.9476528	1029.0	Forest	Big Island, Kaloko Loop Trial	Fungus	fungus	19.8	20.5	91.1	None	None	S. Zdraljevic	S. Brady	2018-11-06	None	Fulcrum collection HawaiiOctober2018	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1217	ECA1216	S-08694	20200815	ECA	19.720575	-155.9476528	1029.0	Forest	Big Island, Kaloko Loop Trial	Fungus	fungus	19.8	20.5	91.1	None	None	S. Zdraljevic	S. Brady	2018-11-06	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1218	ECA1216	S-08695	20200815	ECA	19.720575	-155.9476528	1029.0	Forest	Big Island, Kaloko Loop Trial	Fungus	fungus	19.8	20.5	91.1	None	None	S. Zdraljevic	S. Brady	2018-11-06	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1220	ECA812	S-08766	20200815	ECA	20.03972222	-155.4414833	653.0	Forest	Big Island, Kalopa State Recreation Area	Rotting_nut/pod/seed/fruit	rotting fruit (on ground)	21.3	23.3	83.6	None	None	T. Crombie	E. Andersen	2018-11-06	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1221	ECA812	S-08775	20200815	ECA	20.03972222	-155.4414833	653.0	Forest	Big Island, Kalopa State Recreation Area	Rotting_nut/pod/seed/fruit	rotting fruit (on ground)	21.3	23.3	83.6	None	None	T. Crombie	E. Andersen	2018-11-06	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1222	ECA1225	S-08795	20200815	ECA	19.7188	-155.9544833	885.0	Forest	Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	rotting fruit (on ground)	20.4	21.2	89.0	None	None	S. Zdraljevic	E. Andersen	2018-11-06	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA1223	ECA1223	S-08796	20200815	ECA	19.7188	-155.9544833	885.0	Forest	Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	rotting fruit (on ground)	20.4	21.2	89.0	None	None	S. Zdraljevic	E. Andersen	2018-11-06	None	Fulcrum collection HawaiiOctober2018	8	False	None	True	True
Caenorhabditis elegans	ITS2	ECA1224	ECA1223	S-08801	20200815	ECA	19.7188	-155.9544833	885.0	Forest	Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	20.4	21.2	89.0	no	None	S. Zdraljevic	E. Andersen	2018-11-06	None	Fulcrum collection HawaiiOctober2018	None	False	None	False	True
