species	species_id_method	strain	isotype	previous_names	release	source_lab	latitude	longitude	elevation	landscape	locality_description	substrate	substrate_comments	substrate_temp	ambient_temp	ambient_humidity	associated_organism	inbreeding_status	sampled_by	isolated_by	sampling_date	sampling_date_comment	notes	strain_set	issues	issue_notes	isotype_ref_strain	sequenced
Caenorhabditis elegans	None	AB1	AB1	None	20160408	CGC	-34.93	138.59	41.0	None	South Australia	Soil	soil under rotting vegetation	None	None	None	None	None	D. Riddle, A. Bird	D. Riddle, A. Bird	1983-01-01	None	Tc1 pattern VII	2	False	None	True	True
Caenorhabditis elegans	None	AB2	CB4858	None	20160408	CGC	-34.93	138.59	41.0	None	South Australia	Soil	soil under rotting vegetation	None	None	None	None	None	D. Riddle, A. Bird	D. Riddle, A. Bird	1983-01-01	None	Sampled at the Australian Wine Institute grounds	None	False	None	False	False
Caenorhabditis elegans	None	AB3	CB4858	None	20160408	CGC	-34.93	138.59	41.0	None	South Australia	Soil	soil under rotting vegetation	None	None	None	None	None	D. Riddle, A. Bird	D. Riddle, A. Bird	1983-01-01	None	Sampled at the Waite Agricultural Research Institue nursery plots	None	False	None	False	False
Caenorhabditis elegans	None	AB4	CB4858	None	20160408	CGC	-34.93	138.59	41.0	None	South Australia	Soil	soil under rotting vegetation	None	None	None	None	None	D. Riddle, A. Bird	D. Riddle, A. Bird	1983-01-01	None	Tc1 pattern VIII	None	False	None	False	True
Caenorhabditis elegans	None	BRC20067	BRC20067	None	20160408	BRC	24.072954	121.169736	2000.0	None	Taiwan	Rotting_nut/pod/seed/fruit	unknown orangish-yellowish colored fruit	None	None	None	None	None	J. Wang	C.-Y. Kao	2012-01-13	None	None	1	False	None	True	True
Caenorhabditis elegans	None	BRC20113	BRC20067	None	20170531	BRC	24.124167	121.283056	2810.0	None	Taiwan	Rotting_nut/pod/seed/fruit	fruit	None	None	None	None	None	C. Lee, N. Chang	J.-C. Hsu	2014-05-09	None	None	None	False	None	False	True
Caenorhabditis elegans	None	BRC20231	MY23	None	20170531	BRC	23.541517	120.908112	1551.0	None	Taiwan Province	Rotting_flower	rotting flower, on tree	None	None	None	None	None	T. Volans	None	2014-06-15	None	None	None	False	None	False	True
Caenorhabditis elegans	None	BRC20263	BRC20263	None	20170531	BRC	-33.86748611	151.2069889	19.0	None	New South Wales	None	None	None	None	None	None	None	C. Lee, N. Chang	J.-C. Hsu	2014-08-04	None	None	5	False	None	True	True
Caenorhabditis elegans	None	CB3196	CB4854	GA13	20160408	CGC	None	None	None	Urban_garden	None	Vegetal_litter/mix	vegetable garden	None	None	None	None	None	None	C. Johnson	1974-05-01	None	None	None	False	None	False	False
Caenorhabditis elegans	None	CB3197	CB4854	GA23	20160408	CGC	None	None	None	Urban_garden	None	Vegetal_litter/mix	vegetable garden	None	None	None	None	None	None	C. Johnson	1974-05-01	None	None	None	False	None	False	False
Caenorhabditis elegans	None	CB3198	CB4853	PA2	20160408	CGC	34.13712	-118.12532	233.0	Urban_garden	California	Rotting_flower	flower bed	None	None	None	None	None	E. Hedgecock	E. Hedgecock	1973-01-01	None	PA-2 strain, Isolated in the summer of 1973. Noted as identical to CB4853 by Hodgkin and Doniach.	None	False	None	False	False
Caenorhabditis elegans	None	CB3199	CB4857	PA3	20160408	CGC	34.13712	-118.12532	233.0	Urban_garden	California	Rotting_flower	flower bed	None	None	None	None	None	None	E. Hedgecock	1973-01-01	None	isolated in the summer of 1973	None	False	None	False	False
Caenorhabditis elegans	None	CB4852	CB4852	N3	20160408	CGC	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Isolated by workers at Imperial College, London. Obtained by S. Brenner in 1966 and kept in liquid medium for three years before freezing	3	False	None	True	True
Caenorhabditis elegans	None	CB4854	CB4854	GA9	20160408	CGC	34.189	-118.131	407.0	Urban_garden	California	Vegetal_litter/mix	vegetable garden	None	None	None	None	None	C. Johnson	C. Johnson	1973-12-01	None	CGC says Isolated in May 1974 from vegetable garden on Garfias St, Altadena, California USA, Noted as identical to CB3198 by Hodgkin and Doniach. Hodgkin and Doniach say isolated December 1973	2	False	None	True	True
Caenorhabditis elegans	None	CB4856	CB4856	CB4856_(CGC_#3)|CB4856_CGC_3|CB4856_CGC|CB4856	20160408	CGC	21.33	-157.86	60.0	Rural_garden	Hawaii	Rotting_nut/pod/seed/fruit	pineapple field	None	None	None	None	None	L. Hollen	L. Hollen	1972-08-01	None	Isolated from an unknown Hawaiian island pineapple field	D	False	None	True	True
Caenorhabditis elegans	None	CB4932	CB4932	None	20160408	CGC	51.02	-3.1	15.0	Rural_garden	England	Fungus	mushroom casing	None	None	None	None	None	P. Grewal	P. Grewal	1991-01-01	None	unique Tc1 pattern	2	False	None	True	True
Caenorhabditis elegans	None	CX11254	CX11254	HEY-046	20160408	CX	34.130138	-118.114835	214.0	Botanical_garden_or_zoo	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Huntington Gardens, exact location in garden is unknown	3	False	None	True	True
Caenorhabditis elegans	None	CX11258	CB4858	HEY-001	20160408	CX	34.13531	-118.30582	390.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Griffith Park, exact location in park is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11259	CX11292	HEY-013	20160408	CX	34.13531	-118.30582	390.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2004-02-01	None	isolated in Griffith Park, exact location in park is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11262	CX11262	HEY-028	20160408	CX	34.130138	-118.114835	214.0	Botanical_garden_or_zoo	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Huntington Gardens, exact location in garden is unknown	3	False	None	True	True
Caenorhabditis elegans	None	CX11264	CX11264	HEY-034	20160408	CX	34.130138	-118.114835	214.0	Botanical_garden_or_zoo	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Huntington Gardens, exact location in garden is unknown	3	False	None	True	True
Caenorhabditis elegans	None	CX11268	CX11315	HEY-038	20160408	CX	34.130138	-118.114835	214.0	Botanical_garden_or_zoo	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Huntington Gardens, exact location in garden is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11271	CX11271	HEY-050	20160408	CX	34.13712	-118.12532	233.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated at California Institue of Technology, exact location at CalTech is unknown	1	False	None	True	True
Caenorhabditis elegans	None	CX11276	CX11276	HEY-056	20160408	CX	34.20111	-118.21198	391.0	Botanical_garden_or_zoo	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	1783	1	False	None	True	True
Caenorhabditis elegans	None	CX11278	CB4858	HEY-009	20160408	CX	34.13531	-118.30582	390.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Griffith Park, exact location in park is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11285	CX11285	HEY-061	20160408	CX	34.14331	-118.05496	161.0	Botanical_garden_or_zoo	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Los Angeles Arboretum, exact location is unknown	1	False	None	True	True
Caenorhabditis elegans	None	CX11292	CX11292	HEY-016	20160408	CX	34.13531	-118.30582	390.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2004-02-01	None	isolated in Griffith Park, exact location in park is unknown	3	False	None	True	True
Caenorhabditis elegans	None	CX11294	CX11262	HEY-027	20160408	CX	34.12946	-118.10987	205.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Huntington Gardens, exact location in garden is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11305	CB4858	HEY-004	20160408	CX	34.13531	-118.30582	390.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Griffith Park, exact location in park is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11307	CX11307	HEY-011	20160408	CX	34.12946	-118.10987	205.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2013-09-03	None	isolated in Huntington Gardens, exact location in garden is unknown	3	False	None	True	True
Caenorhabditis elegans	None	CX11314	CX11314	HEY-036	20160408	CX	34.12946	-118.10987	205.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Huntington Gardens, exact location in garden is unknown	D	False	None	True	True
Caenorhabditis elegans	None	CX11315	CX11315	HEY-039	20160408	CX	34.12946	-118.10987	205.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2013-09-03	None	isolated in Huntington Gardens, exact location in garden is unknown	3	False	None	True	True
Caenorhabditis elegans	None	CX11316	CX11276	HEY-058	20160408	CX	34.20111	-118.21198	391.0	Botanical_garden_or_zoo	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated at Decanso Gardens, exact location in garden is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11317	CB4858	HEY-042	20160408	CX	34.13531	-118.30582	390.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Griffith Park, exact location in park is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11319	CX11271	HEY-055	20160408	CX	34.13712	-118.12532	233.0	Urban_garden	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated at California Institue of Technology, exact location is unknown	None	False	None	False	False
Caenorhabditis elegans	None	CX11321	CX11285	HEY-063	20160408	CX	34.14331	-118.05496	161.0	Botanical_garden_or_zoo	California	Soil	soil	None	None	None	None	None	A. Sivasundar	A. Sivasundar	2003-09-01	None	isolated in Los Angeles Arboretum, exact location is unknown	None	False	None	False	False
Caenorhabditis elegans	None	DL200	DL200	None	20160408	DL	9.03	38.74	2439.0	Urban_garden	Oromia	Soil	garden soil in an orphanage	None	None	None	None	None	D. Denver	D. Denver	2007-12-01	None	None	1	False	None	True	True
Caenorhabditis elegans	None	DL226	DL226	None	20160408	DL	44.5633	-123.2821	73.0	Urban_garden	Oregon	Soil	leaf litter/soil on Oregon State campus	None	None	None	None	None	C. Hilburn	C. Hilburn	2008-01-01	None	None	1	False	None	True	True
Caenorhabditis elegans	None	DL238	DL238	None	20160408	DL	19.11	-155.81	653.0	Forest	Hawaii	Vegetal_litter/mix	leaves on side of hiking path at Manuka State Park	None	None	None	None	None	J. Knapp	J. Knapp	2008-07-15	None	None	D	False	None	True	True
